WeatherCondition,TrafficCongestion,DistanceRemaining,Time_Taken_Hours
Clear,Medium,1386.8,47.88
Rain,Medium,92.1,3.83
Storm,Jam,1109.0,140.33
Snow,High,1422.5,103.02
Rain,Jam,1326.7,101.97
Storm,Low,1282.2,69.31
Clear,High,459.2,24.59
Fog,High,1277.6,84.38
Clear,High,658.2,32.06
Snow,High,731.6,62.26
Rain,Jam,1155.1,90.54
Fog,Jam,1148.6,113.45
Fog,Medium,1471.3,70.56
Clear,High,1032.2,48.38
Rain,High,1488.2,95.66
Fog,Low,746.4,30.22
Fog,High,1202.8,75.79
Snow,Medium,216.1,13.87
Storm,Jam,1104.0,125.63
Fog,High,1195.8,82.83
Rain,Medium,334.0,17.54
Rain,Low,359.7,15.36
Snow,High,988.5,72.06
Clear,Medium,10.5,0.34
Fog,High,1413.6,99.18
Rain,Low,163.6,7.48
Clear,Jam,329.2,20.98
Snow,High,330.1,24.46
Fog,Low,457.9,22.9
Storm,Jam,426.5,54.23
Rain,Jam,501.8,48.27
Storm,Low,693.3,43.0
Clear,High,1224.5,52.18
Storm,Jam,606.2,92.07
Rain,Low,269.4,12.22
Clear,High,168.5,8.26
Storm,Jam,630.6,81.91
Snow,Low,1471.7,70.05
Storm,Medium,736.2,52.77
Snow,High,21.1,1.54
Snow,Low,363.6,15.53
Fog,Low,42.1,1.65
Snow,Jam,583.0,57.87
Rain,Jam,815.3,74.54
Fog,High,1485.6,116.24
Clear,Medium,1419.9,49.11
Snow,Jam,829.8,72.98
Fog,Jam,1203.3,122.67
Clear,High,333.9,14.5
Snow,Jam,6.6,0.65
Rain,Medium,714.8,35.06
Storm,Jam,20.3,2.71
Rain,Jam,462.3,34.72
Snow,High,917.3,63.18
Clear,Low,1391.3,41.22
Clear,High,820.7,33.15
Snow,High,978.4,70.3
Snow,High,20.6,1.72
Fog,Jam,1088.3,87.94
Snow,Low,1043.1,53.67
Rain,Jam,307.4,25.46
Fog,Low,136.7,6.11
Storm,Low,1113.9,78.62
Clear,High,638.8,29.55
Storm,Low,193.2,12.32
Snow,Low,856.8,42.97
Fog,Low,395.6,15.64
Fog,Low,282.2,11.74
Rain,Low,1401.9,51.68
Clear,Jam,1437.0,81.7
Clear,Medium,159.3,5.5
Rain,Jam,1357.7,87.8
Snow,Low,1053.6,45.24
Snow,Low,488.3,24.36
Rain,Jam,1499.3,112.53
Snow,Low,1067.6,61.77
Storm,Jam,817.7,118.18
Storm,Medium,130.2,8.57
Rain,Low,1279.8,50.45
Clear,Medium,27.9,0.83
Snow,Medium,1155.5,65.1
Fog,High,1488.0,103.36
Snow,Medium,1104.4,68.19
Rain,High,1030.9,55.56
Storm,High,1094.1,97.77
Storm,Medium,39.0,2.46
Rain,Medium,860.8,47.47
Fog,Low,541.3,22.13
Rain,Low,1361.4,48.56
Snow,Medium,1115.1,66.25
Clear,Jam,1409.3,90.28
Fog,Medium,588.7,29.26
Snow,Medium,586.4,34.28
Snow,Medium,1420.4,85.16
Fog,Low,736.4,29.21
Rain,Medium,777.1,38.57
Fog,Medium,1483.8,70.68
Fog,Medium,262.7,13.63
Storm,Low,386.4,25.21
Clear,Low,1385.1,37.51
Fog,Medium,73.0,3.54
Storm,Low,332.7,16.47
Storm,Jam,163.2,15.65
Storm,Medium,141.4,9.3
Snow,Medium,1081.8,71.73
Clear,Medium,1112.7,38.27
Fog,Low,1043.1,43.33
Snow,Medium,310.5,22.08
Fog,Low,270.9,11.69
Snow,High,621.4,49.84
Fog,Medium,1236.7,67.6
Clear,Low,700.2,20.95
Fog,High,325.6,24.65
Fog,High,796.6,46.97
Clear,Medium,439.8,13.84
Rain,Jam,1343.3,127.92
Clear,Jam,1015.4,60.61
Storm,Medium,889.2,64.62
Rain,Low,429.2,16.7
Snow,High,1294.7,97.1
Clear,High,567.7,25.06
Rain,Low,1439.0,59.33
Fog,High,464.6,28.61
Storm,Low,1273.1,82.86
Fog,Low,898.6,38.01
Clear,Medium,1151.1,42.21
Storm,High,569.9,52.08
Storm,Medium,941.8,63.46
Fog,Low,741.4,29.89
Rain,Jam,243.3,17.64
Storm,High,756.0,76.82
Clear,High,1350.8,57.68
Snow,Jam,1263.4,107.77
Fog,Medium,1248.3,62.77
Storm,Medium,1053.3,76.9
Clear,Low,1085.9,29.99
Storm,Jam,62.6,9.37
Clear,Low,1451.3,45.32
Rain,Medium,173.6,7.0
Clear,High,1485.4,74.22
Clear,Medium,651.7,24.29
Fog,Low,490.0,19.58
Fog,Low,182.9,7.54
Fog,Low,171.9,7.23
Storm,Low,126.8,8.97
Rain,Low,428.4,15.73
Fog,Low,702.7,30.98
Snow,Medium,1422.7,81.44
Fog,Medium,791.2,37.27
Fog,Low,163.7,7.75
Storm,High,1386.8,166.21
Clear,High,419.0,16.05
Snow,Jam,720.8,72.8
Snow,Low,731.5,36.81
Snow,Low,1100.5,58.71
Snow,High,1078.0,68.36
Storm,Medium,912.5,72.66
Snow,Jam,341.6,34.61
Clear,High,786.2,39.21
Storm,High,1373.3,134.41
Storm,High,263.9,21.18
Snow,Low,307.0,14.15
Storm,Medium,410.8,31.58
Storm,Jam,565.9,73.73
Clear,Jam,651.7,46.61
Clear,Jam,60.3,3.65
Snow,Low,626.5,28.52
Rain,High,927.6,67.21
Storm,Medium,1444.0,113.13
Fog,Medium,1078.3,56.05
Storm,Medium,526.6,38.6
Rain,Low,1033.1,38.57
Rain,Medium,567.5,27.22
Rain,Jam,151.4,14.68
Rain,High,841.1,51.35
Rain,High,710.4,38.19
Fog,Jam,621.7,53.09
Rain,Jam,676.7,56.83
Snow,Medium,363.1,23.74
Clear,Low,700.1,18.99
Clear,Jam,1020.9,67.37
Fog,High,587.8,33.12
Clear,Low,1135.9,33.21
Fog,Low,469.9,22.74
Snow,Medium,689.9,36.42
Rain,Low,1319.8,55.2
Storm,High,67.1,5.23
Rain,High,121.9,8.26
Rain,Jam,308.5,22.33
Snow,Medium,540.6,30.5
Snow,Medium,437.7,25.19
Clear,Low,670.0,18.7
Rain,High,125.6,7.66
Clear,High,68.9,3.25
Snow,Low,1424.3,74.85
Clear,Jam,232.3,13.55
Storm,High,61.6,6.0
Fog,Low,736.9,26.5
Snow,High,758.8,61.4
Clear,Low,1237.2,34.18
Fog,Jam,1146.8,102.7
Rain,Jam,969.2,69.16
Clear,Jam,722.9,41.91
Storm,High,681.6,66.27
Storm,Medium,14.7,1.15
Storm,Low,1162.5,69.9
Storm,Jam,618.1,88.99
Fog,Low,467.9,16.44
Storm,Jam,1361.9,168.95
Rain,Medium,126.0,5.81
Storm,Jam,65.8,8.08
Snow,High,1079.7,89.18
Storm,Medium,196.8,13.86
Snow,Low,1154.7,63.88
Fog,Medium,828.8,44.27
Fog,Medium,1294.7,60.06
Rain,Low,435.8,16.23
Snow,Jam,127.8,11.12
Fog,Jam,18.8,1.34
Clear,Medium,902.4,30.64
Snow,Jam,1299.1,161.34
Clear,Low,1276.4,34.55
Rain,Medium,178.9,8.49
Snow,Low,552.9,25.42
Fog,Medium,900.2,42.46
Rain,Jam,716.6,64.26
Fog,High,1483.8,101.26
Snow,High,165.0,13.84
Clear,Jam,1100.4,61.16
Rain,High,573.2,41.23
Fog,Low,323.3,12.09
Rain,High,859.2,55.32
Snow,Medium,184.7,11.78
Rain,High,1414.6,95.85
Clear,Low,1231.5,30.17
Clear,Low,874.6,23.99
Storm,Medium,664.3,56.03
Fog,Medium,467.1,22.68
Rain,Jam,499.6,37.12
Fog,Jam,1403.6,116.1
Snow,High,1329.3,127.59
Clear,Low,141.6,3.88
Storm,Low,1191.8,77.79
Snow,Jam,1039.9,101.72
Snow,Jam,968.6,113.21
Snow,Low,442.8,22.57
Clear,Medium,1024.3,35.21
Storm,High,1359.1,151.08
Snow,Medium,380.7,22.54
Clear,Jam,1003.0,52.88
Rain,Low,857.0,34.07
Fog,Jam,1087.3,89.92
Rain,Jam,1372.6,104.75
Storm,High,28.8,3.12
Clear,Jam,69.0,3.7
Clear,High,17.1,0.78
Snow,Medium,992.7,63.34
Storm,Low,1282.6,84.7
Fog,High,788.3,57.07
Storm,Low,1235.9,65.39
Clear,Jam,1254.1,84.22
Rain,Medium,462.9,25.05
Rain,Jam,548.8,40.08
Clear,High,281.7,14.69
Fog,Jam,1287.1,103.53
Snow,Jam,1078.9,112.76
Fog,High,129.7,10.07
Snow,Low,349.8,18.82
Storm,Jam,1381.2,168.06
Rain,Medium,1236.8,52.84
Rain,Medium,181.1,8.31
Rain,Medium,723.5,30.2
Fog,Medium,1254.4,62.12
Fog,High,1462.2,116.54
Fog,High,95.6,6.7
Fog,Medium,467.0,21.32
Clear,Low,1245.4,32.97
Storm,Medium,825.5,64.91
Snow,Low,33.0,1.68
Snow,Medium,722.8,39.26
Snow,Medium,1495.3,82.0
Storm,Low,492.0,26.61
Fog,Jam,780.0,63.28
Snow,High,1105.6,78.46
Clear,Jam,980.4,67.19
Fog,Low,1060.3,35.89
Fog,High,848.4,51.29
Clear,High,778.7,34.58
Fog,Jam,424.0,35.62
Snow,High,1240.1,97.85
Clear,Medium,1011.4,30.82
Storm,Medium,653.3,58.71
Fog,Medium,1487.5,82.99
Clear,Medium,773.3,26.78
Clear,High,71.0,3.96
Snow,Medium,1237.8,75.43
Rain,Low,1069.4,40.16
Rain,Low,334.0,14.37
Clear,Medium,1209.6,38.37
Fog,Low,544.8,19.95
Storm,Medium,928.9,62.29
Fog,Low,909.1,37.75
Clear,Medium,366.8,11.48
Rain,High,423.0,23.94
Snow,Medium,1096.0,61.49
Fog,High,597.3,46.41
Clear,Jam,992.4,61.45
Fog,Low,198.2,7.97
Storm,Medium,209.9,15.28
Storm,Low,31.2,1.98
Fog,Medium,521.5,28.4
Storm,Low,556.1,28.6
Fog,Jam,318.0,24.5
Rain,Medium,749.4,39.29
Storm,Low,122.9,7.35
Fog,High,666.7,46.73
Fog,Low,712.9,29.56
Fog,Low,1135.2,42.29
Snow,Medium,940.6,45.77
Snow,Low,358.6,20.67
Snow,Jam,1318.6,148.71
Clear,Low,440.8,12.48
Rain,Low,356.2,11.6
Clear,Jam,546.7,30.71
Snow,Low,734.3,31.65
Storm,High,1039.7,79.54
Fog,High,88.3,5.81
Fog,High,1082.4,66.95
Clear,Medium,972.7,32.8
Snow,Low,160.6,6.89
Clear,Jam,1009.2,58.94
Rain,Low,1376.0,48.63
Rain,Low,9.7,0.33
Rain,Medium,551.4,22.33
Storm,Medium,625.5,49.78
Storm,Low,1403.2,70.44
Storm,Low,905.2,51.82
Rain,Jam,1238.3,97.9
Clear,High,1244.9,58.36
Storm,High,877.1,98.35
Snow,Medium,997.0,67.04
Rain,Low,578.9,24.67
Storm,Jam,1140.3,171.26
Fog,Medium,1031.0,52.7
Rain,Low,1406.1,53.54
Rain,Medium,1344.2,56.65
Storm,Jam,548.9,64.39
Rain,Low,86.0,3.39
Clear,Jam,1280.6,95.11
Fog,High,220.6,13.49
Storm,Medium,430.3,33.18
Clear,High,599.5,25.98
Snow,Medium,815.9,58.27
Storm,Jam,1140.2,164.11
Clear,High,733.5,29.77
Storm,Medium,1019.3,73.67
Fog,Medium,852.7,39.53
Snow,Jam,338.6,32.2
Fog,Jam,1437.3,128.14
Fog,High,219.1,14.52
Storm,Low,1220.1,74.14
Fog,Jam,545.3,49.17
Rain,Low,430.1,15.25
Storm,Low,243.4,15.68
Clear,High,869.8,42.05
Storm,Jam,833.8,82.58
Snow,High,571.6,47.62
Storm,Low,478.1,29.1
Snow,Jam,950.0,82.28
Snow,Medium,117.0,7.92
Fog,Low,90.2,3.6
Fog,High,497.9,30.31
Clear,Medium,339.3,11.03
Snow,Medium,285.0,17.38
Fog,Medium,688.1,40.09
Storm,Jam,1060.2,149.44
Rain,Jam,250.8,21.59
Snow,Medium,987.3,60.71
Snow,Jam,796.8,83.28
Snow,Jam,836.7,86.31
Rain,Medium,863.4,44.87
Clear,Jam,437.1,29.08
Snow,High,818.6,57.53
Storm,Jam,468.9,57.24
Snow,Low,1362.8,69.7
Rain,Jam,1342.9,110.65
Fog,Medium,767.4,44.37
Clear,Low,738.6,20.68
Clear,Low,937.7,25.68
Snow,Jam,423.7,51.08
Clear,Low,716.9,21.8
Clear,High,927.7,40.44
Snow,Medium,179.5,12.21
Clear,Jam,877.9,48.34
Fog,Jam,446.8,39.09
Rain,Low,1030.7,37.76
Snow,Jam,175.2,22.14
Rain,Low,1423.1,60.45
Rain,High,676.7,44.83
Fog,Medium,527.7,28.57
Fog,Jam,135.9,11.61
Rain,High,680.5,41.73
Rain,Medium,480.9,22.4
Snow,Medium,348.0,20.52
Clear,Jam,118.2,7.4
Storm,Low,836.9,59.44
Storm,Jam,1184.8,150.16
Fog,High,1408.9,82.89
Clear,Medium,570.9,18.66
Storm,Jam,1485.6,205.05
Clear,Low,572.7,14.4
Fog,Jam,956.5,92.13
Rain,Medium,1434.4,65.03
Clear,Jam,124.2,7.4
Fog,Low,362.5,15.12
Storm,Jam,204.3,27.75
Fog,Medium,897.6,48.6
Clear,High,1412.8,63.07
Snow,High,403.7,30.73
Storm,Low,1157.1,58.69
Snow,High,1184.2,95.87
Snow,Low,646.4,33.36
Fog,Low,708.1,33.22
Fog,Low,916.2,34.78
Rain,Low,517.3,20.73
Snow,Low,1304.5,59.78
Clear,Jam,529.9,35.05
Fog,Low,565.9,22.09
Snow,Medium,759.3,52.0
Fog,High,210.9,13.07
Rain,Medium,598.3,26.8
Snow,High,660.7,42.17
Fog,Jam,1272.9,115.51
Storm,Jam,417.4,57.91
Fog,Medium,762.7,42.56
Rain,High,765.3,52.6
Snow,Jam,377.3,30.68
Clear,Jam,929.5,48.4
Rain,High,491.8,31.21
Rain,Medium,476.0,22.5
Snow,Jam,864.9,107.86
Rain,Jam,226.9,17.38
Storm,High,62.3,6.57
Rain,Low,1034.3,42.57
Clear,Jam,691.7,45.13
Fog,Medium,193.4,9.82
Storm,Low,769.7,49.65
Fog,Medium,177.9,7.47
Storm,Medium,1346.7,115.44
Fog,Medium,425.8,22.78
Clear,Jam,839.0,50.61
Snow,High,310.1,22.59
Storm,Jam,606.4,66.45
Snow,Medium,936.0,46.98
Snow,High,132.5,9.22
Fog,Medium,1479.1,73.2
Fog,Jam,1496.5,138.06
Clear,Low,453.3,14.07
Clear,Jam,941.0,50.95
Snow,High,714.1,69.17
Clear,Jam,83.4,6.33
Fog,High,1469.2,85.2
Snow,Jam,1443.9,159.63
Fog,Low,593.9,22.54
Snow,Medium,760.5,52.39
Clear,Medium,775.6,27.84
Clear,Jam,836.3,52.3
Rain,Low,689.2,23.3
Storm,High,454.7,53.7
Snow,Jam,1196.9,112.3
Storm,Jam,1329.8,196.53
Rain,Medium,960.1,41.88
Clear,Low,833.2,22.08
Clear,Low,179.4,4.99
Snow,Jam,587.1,62.31
Snow,Low,1227.7,57.95
Clear,High,192.2,9.88
Rain,High,650.3,46.54
Storm,High,200.5,22.53
Clear,Medium,1304.4,38.92
Snow,Jam,1015.8,114.09
Clear,Jam,540.3,35.63
Rain,Low,706.0,27.02
Storm,High,415.8,35.19
Fog,High,1137.0,82.42
Snow,High,700.9,56.85
Snow,Jam,309.3,29.5
Fog,High,1095.0,75.51
Fog,Low,156.0,5.5
Fog,Jam,934.2,84.21
Fog,Low,1472.1,61.91
Rain,Jam,330.9,25.73
Storm,High,382.1,44.4
Snow,Medium,640.7,41.64
Clear,Jam,672.8,43.98
Clear,High,1489.5,66.6
Storm,Low,297.0,16.07
Clear,Jam,421.9,25.89
Snow,High,699.9,63.45
Snow,Jam,844.6,97.84
Fog,Jam,1407.5,116.76
Rain,High,482.2,27.63
Snow,Jam,1392.1,147.97
Snow,High,469.0,36.02
Fog,High,714.7,45.13
Clear,High,640.9,29.3
Rain,Low,1475.0,50.21
Storm,Low,160.1,8.91
Clear,Jam,325.4,19.44
Fog,Low,1224.3,46.93
Rain,Low,1195.9,47.66
Clear,High,212.5,11.37
Rain,High,768.1,47.65
Snow,High,104.5,8.23
Snow,Low,1258.7,64.0
Rain,Jam,1147.9,95.15
Storm,Jam,440.6,65.72
Storm,Low,1257.6,85.01
Storm,Medium,333.6,24.04
Storm,Jam,358.8,33.92
Clear,Medium,1488.6,53.25
Fog,Low,1228.9,42.26
Clear,Low,343.1,9.31
Fog,Medium,407.8,19.32
Fog,Low,535.2,22.92
Rain,Jam,1032.7,76.37
Storm,Medium,664.6,42.39
Storm,High,1489.1,167.6
Storm,Jam,1192.7,149.06
Rain,Medium,359.3,15.75
Fog,Medium,827.0,36.4
Clear,High,923.5,46.15
Clear,Jam,1131.1,72.53
Fog,High,233.3,17.63
Rain,High,1100.6,79.88
Snow,Jam,221.1,25.13
Clear,High,418.3,21.05
Clear,High,1459.7,77.64
Snow,Medium,927.5,63.9
Storm,High,1103.7,93.66
Clear,Jam,828.3,41.41
Fog,Jam,340.0,27.65
Rain,Medium,853.8,45.01
Rain,Medium,719.0,33.77
Rain,Low,205.1,7.03
Storm,Medium,269.6,19.21
Storm,Low,46.8,3.13
Snow,High,1180.8,93.17
Snow,Low,547.7,29.23
Snow,Jam,58.4,7.52
Storm,Jam,1163.8,119.27
Clear,Jam,539.6,37.01
Rain,High,528.7,33.06
Rain,High,698.7,36.8
Rain,High,1347.0,80.75
Storm,High,1014.2,96.23
Storm,High,872.4,95.53
Storm,High,175.2,15.47
Fog,High,762.1,55.43
Snow,Low,665.5,36.89
Fog,High,990.3,55.14
Rain,Medium,1163.1,46.94
Storm,Low,343.7,21.62
Fog,High,1204.5,83.32
Rain,Low,86.9,3.13
Snow,High,760.0,49.79
Storm,Low,490.6,29.05
Clear,Medium,860.1,31.28
Snow,High,936.3,77.46
Clear,Low,173.3,4.38
Storm,Medium,789.2,60.47
Clear,High,174.9,8.65
Snow,High,1143.4,82.28
Storm,Low,857.8,56.47
Snow,Low,5.3,0.29
Rain,Medium,1248.5,52.93
Storm,Medium,431.4,27.94
Snow,Jam,1125.2,139.65
Fog,Medium,1252.3,56.13
Snow,Low,1475.6,63.59
Rain,Medium,675.4,27.37
Rain,Jam,1045.7,72.87
Rain,Jam,854.4,76.7
Storm,High,749.2,76.23
Storm,Medium,1173.2,85.25
Rain,Jam,269.7,19.99
Snow,Jam,42.8,4.04
Fog,Low,926.5,39.69
Fog,Medium,642.4,32.52
Clear,Low,201.8,5.6
Snow,Low,1239.5,49.59
Clear,High,104.1,5.66
Fog,High,1351.8,96.11
Rain,Low,858.8,28.8
Storm,Medium,764.7,52.36
Clear,Medium,601.1,17.53
Clear,Medium,6.2,0.2
Snow,Medium,1438.5,92.81
Snow,Jam,1022.0,105.12
Snow,High,551.6,39.58
Storm,High,485.3,35.77
Fog,Medium,1360.8,68.17
Snow,High,1186.0,93.18
Storm,Low,723.1,52.67
Snow,High,220.2,20.65
Clear,Medium,70.0,2.38
Fog,Low,733.0,32.84
Fog,Medium,659.7,36.6
Storm,Medium,405.4,30.7
Fog,Medium,682.1,33.24
Fog,High,1090.2,70.09
Fog,Jam,845.5,90.01
Rain,Jam,511.0,37.92
Fog,Medium,1422.5,71.24
Fog,Jam,776.5,70.81
Fog,Low,826.3,39.92
Storm,Jam,1377.4,176.87
Rain,Medium,685.4,30.55
Clear,Jam,863.3,53.35
Snow,High,998.3,67.41
Snow,High,333.1,23.66
Snow,Medium,563.6,31.69
Snow,Low,795.7,34.1
Snow,Jam,542.6,56.75
Snow,Jam,712.7,75.25
Fog,Jam,87.3,8.89
Rain,High,1203.9,78.71
Storm,Low,735.8,42.45
Storm,Medium,944.2,57.26
Fog,High,643.6,42.4
Clear,Low,736.4,19.5
Storm,Low,315.1,17.08
Clear,High,919.7,37.34
Snow,Medium,430.9,24.08
Clear,High,94.4,3.88
Snow,Jam,668.6,79.66
Storm,Low,159.8,10.51
Storm,Jam,1101.4,146.42
Fog,Low,31.2,1.22
Storm,Jam,1189.7,185.97
Storm,Jam,1418.4,201.02
Storm,Jam,940.4,112.51
Fog,High,1235.3,81.94
Rain,High,840.1,44.75
Clear,Jam,238.9,15.62
Rain,High,230.6,12.14
Storm,Low,1338.0,93.93
Clear,Medium,1164.7,44.05
Rain,Medium,1050.8,52.39
Snow,Low,521.9,28.29
Rain,High,1404.7,97.46
Snow,Low,568.4,28.56
Clear,Medium,321.8,11.55
Rain,Low,5.4,0.21
Storm,Jam,255.7,38.49
Rain,Jam,697.5,60.86
Fog,High,422.5,28.04
Rain,Jam,945.2,86.14
Fog,Jam,436.2,36.62
Clear,Low,1309.3,36.02
Storm,High,506.3,49.92
Storm,High,1470.2,138.13
Rain,High,1303.6,81.71
Snow,Jam,116.1,15.18
Rain,Low,211.4,7.86
Snow,Jam,1105.8,129.71
Clear,High,536.4,24.54
Rain,High,1435.9,82.95
Storm,Jam,1004.3,168.99
Fog,Low,295.7,13.21
Storm,Medium,869.7,64.13
Snow,Medium,1066.3,54.16
Storm,Low,499.4,29.86
Rain,Low,181.7,7.82
Fog,Jam,190.0,15.93
Clear,Low,1219.4,35.37
Fog,High,441.7,28.41
Fog,High,1481.8,94.81
Clear,High,647.2,30.15
Storm,Medium,544.0,34.36
Fog,Medium,6.8,0.35
Snow,Jam,1331.8,132.77
Fog,Low,1468.5,64.26
Fog,High,959.3,60.81
Rain,Jam,1003.7,96.81
Clear,Jam,820.5,44.01
Clear,Medium,232.2,7.78
Storm,Medium,1474.7,101.6
Storm,Low,283.8,16.35
Fog,Low,811.2,29.93
Rain,Low,20.1,0.71
Fog,Medium,185.9,10.0
Fog,High,1461.7,95.22
Rain,Low,1253.6,43.78
Snow,Low,1261.7,66.88
Rain,Jam,680.7,56.33
Rain,Low,874.5,34.04
Fog,Medium,906.3,46.2
Fog,Jam,453.9,35.3
Storm,Medium,269.6,22.62
Clear,Medium,253.0,9.03
Storm,High,242.1,23.12
Fog,Medium,435.9,21.28
Fog,Low,927.7,35.49
Fog,Jam,908.0,91.58
Fog,Jam,1148.7,108.71
Snow,Jam,1069.8,116.03
Snow,Medium,1330.3,86.04
Fog,High,187.0,14.08
Fog,High,423.2,28.62
Clear,Medium,1273.8,41.55
Snow,High,1342.8,106.6
Snow,Medium,1391.6,94.31
Rain,High,109.5,6.64
Storm,High,77.0,8.17
Fog,High,8.0,0.59
Storm,High,1135.7,98.83
Storm,Low,592.0,43.79
Rain,High,1242.4,77.66
Storm,High,196.9,22.3
Snow,Medium,1152.5,70.14
Storm,Low,208.1,13.47
Fog,High,866.7,66.95
Fog,Low,569.8,23.94
Snow,Jam,1470.9,144.62
Rain,Low,451.3,17.35
Fog,Jam,1337.7,114.12
Snow,Low,1468.6,75.61
Rain,Jam,27.5,2.25
Fog,Low,700.9,28.7
Storm,Jam,1193.4,127.34
Fog,Jam,998.8,97.47
Rain,Jam,1461.9,116.82
Snow,High,900.6,72.87
Storm,High,951.9,94.73
Snow,Medium,1310.5,74.48
Snow,Low,543.0,26.36
Storm,Low,1424.5,92.27
Rain,Jam,698.4,63.61
Clear,Medium,1311.0,41.79
Fog,High,1106.7,69.29
Snow,Medium,470.7,26.57
Snow,Low,982.0,42.81
Fog,High,1216.4,79.53
Rain,Low,658.2,26.18
Snow,Jam,185.0,17.9
Fog,Low,371.2,16.08
Rain,Medium,567.8,25.28
Clear,Medium,1385.0,47.12
Rain,High,1079.8,61.28
Storm,Medium,226.6,16.85
Storm,Low,436.2,32.48
Rain,Low,68.3,2.46
Fog,High,304.6,20.1
Rain,High,638.2,40.89
Rain,Jam,6.6,0.48
Fog,Medium,1091.1,46.8
Fog,Jam,184.5,13.81
Clear,Low,1453.3,34.79
Fog,Jam,779.8,53.91
Storm,High,837.8,71.31
Snow,High,824.1,60.15
Fog,Low,1211.2,56.68
Fog,Jam,113.7,9.12
Fog,Jam,1059.2,95.55
Rain,Jam,944.9,71.66
Storm,Jam,936.8,108.97
Clear,Jam,765.4,38.62
Fog,Medium,1410.9,71.29
Storm,High,1278.1,102.62
Fog,Low,801.9,30.86
Snow,High,402.9,34.45
Clear,Medium,202.8,6.88
Rain,Jam,940.0,82.87
Snow,Medium,271.3,16.59
Clear,High,1257.1,59.92
Snow,Medium,1016.2,58.8
Storm,Low,817.0,50.18
Clear,Low,1094.9,29.2
Rain,Low,1490.5,53.14
Snow,Jam,1128.1,88.57
Clear,Jam,467.6,31.59
Snow,Medium,287.7,19.59
Clear,Low,67.2,2.11
Rain,High,332.4,23.21
Rain,High,449.8,25.14
Rain,Low,1458.5,52.14
Clear,Jam,684.8,50.37
Fog,Medium,98.0,5.59
Rain,Medium,893.5,43.49
Snow,Low,814.5,44.18
Snow,Low,201.2,8.35
Snow,High,760.3,56.48
Clear,Jam,600.0,41.7
Rain,Medium,1392.6,74.84
Snow,Medium,923.7,51.69
Clear,Medium,202.6,6.33
Clear,Low,213.7,6.13
Clear,Medium,417.0,13.54
Fog,Low,1052.2,41.88
Fog,High,659.7,39.4
Fog,Low,613.4,29.02
Clear,Low,1261.1,33.45
Snow,Jam,677.0,65.39
Clear,Jam,1440.9,70.35
Fog,Jam,1318.0,102.14
Rain,Jam,1452.7,124.18
Clear,Medium,518.2,19.0
Rain,Medium,1184.5,56.61
Snow,Jam,408.9,46.11
Storm,Medium,1145.7,72.37
Snow,Medium,1117.8,62.48
Rain,Jam,1086.1,81.91
Rain,Medium,118.6,5.84
Storm,Low,1324.5,84.82
Fog,Low,1126.5,47.93
Storm,Medium,560.3,35.25
Storm,High,1384.2,160.42
Clear,Medium,1203.2,43.39
Snow,Low,1359.0,60.08
Fog,Medium,1092.7,59.0
Clear,Jam,296.1,19.12
Storm,Low,1468.4,103.01
Fog,Medium,1453.0,66.36
Storm,Medium,179.1,11.41
